Key,Description,en,fr
ScrollInteractable_-645206,VR Interactable,Scroll,Défiler
Name_747128,UI Text,VTOL VR - Steam Workshop Browser,VTOL VR - Navigateur de l'Atelier Steam
ScenariosButton_746792,VR Interactable,Scenarios,Scénarios
CampaignsButton_745636,VR Interactable,Campaigns,Campagnes
Text_746638,UI Text,Maps,Cartes
Name (1)_747156,UI Text,STEAM WORKSHOP,ATELIER STEAM
Placeholder_742056,UI Text,search...,rechercher...
ButtonSearch_745798,VR Interactable,Search,Recherche
SortOrderDropdown_742490,VR Interactable,Sort Dropdown,Trier la liste déroulante
Text_743832,UI Text,Entry Button,Bouton d'entrée
AnyVehicleButton_741020,VR Interactable,Any Vehicle,N'importe quel véhicule
AV42Button_746716,VR Interactable,AV-42C,AV-42C
Text_744672,UI Text,AV-42C,AV-42C
missionTypeText (1)_742360,UI Text,Select vehicle,Sélectionnez un véhicule
F-45AButton_744238,VR Interactable,F-45A,F-45A
VotesTab_743458,VR Interactable,Votes,Votes
FavesTab_744050,VR Interactable,Favorited,Favoris
VotesTxt_747534,UI Text,Faves,Favoris
SubsTab_746936,VR Interactable,Subscriptions,Abonnements
VotesTxt_740374,UI Text,Subs,Abonnements
NewTab_744656,VR Interactable,New,Nouveau
VotesTxt_740444,UI Text,Newest,Le plus récent
ButtonPrevious_746534,VR Interactable,Previous Page,Page précédente
ButtonNext_743488,VR Interactable,Next Page,Page suivante
Title (1)_741416,UI Text,"Loading 
steam workshop
missions","Chargement 
"
Name_742760,UI Text,Error,Erreur
ErrorOkayButton_976098,VR Interactable,Okay,Ok
Title_-645276,UI Text,"Select Campaign
",
NextButton_-645330,VR Interactable,Next Campaign,Prochaine campagne
PrevButton_-645328,VR Interactable,Previous Campaign,Campagne précédente
SelectButton_516578,VR Interactable,Select Campaign,Sélectionnez une campagne
BackButton_-645324,VR Interactable,Back to Vehicles,Retour aux véhicules
Text_732522,UI Text,"The Island
",L'Ile
Text_732678,UI Text,Custom Campaigns,Campagnes personnalisées
ResetButton_-645338,VR Interactable,Reset Campaign,Réinitialiser la campagne
Text_-645444,UI Text,"Reset
Progress","Réinitialiser
"
description_-645446,UI Text,Are you sure you want to reset progress on this campaign?,Êtes-vous sûr de vouloir réinitialiser la progression de cette campagne ?
Text_-645584,UI Text,Reset,Réinitialiser
Text_-645592,UI Text,Cancel,Annuler
Title (1)_740090,UI Text,"Loading 
Campaigns & missions...","Chargement 
"
Text_-645730,UI Text,No missions found,Aucune mission trouvée
Title_-645562,UI Text,Select mission,Sélectionnez une mission
CompletedObject_-645176,UI Text,Completed,Complété
GrantedBudget_-645910,UI Text,Granted Budget: $500,Budget accordé : 500 $
RTrainingTitle_-645174,UI Text,Recommended Training: ,Formation recommandée :
Text_-645912,UI Text,FULL VERSION ONLY,VERSION COMPLÈTE SEULEMENT
Text_-645908,UI Text,UNDER CONSTRUCTION,EN COURS DE CONSTRUCTION
Text_-645892,UI Text,CUSTOM MAP MISSING,CARTE PERSONNALISÉE MANQUANTE
NextButton_-645564,VR Interactable,Next Mission,Mission suivante
PrevButton_-645598,VR Interactable,Previous Mission,Mission précédente
SelectButton_-645578,VR Interactable,Select Mission,Sélectionnez une mission
MissionsButton_-645568,VR Interactable,Missions,Missions
Text_732526,UI Text,MISSIONS,MISSIONS
TrainingButton_-645594,VR Interactable,Training,Formation
Text_-645732,UI Text,TRAINING,FORMATION
BackButton_-645608,VR Interactable,Back to Campaigns,Retour aux campagnes
triggerToSkip_-645838,UI Text,hold trigger to skip,maintenez la gâchette pour passer
titleText_-645888,UI Text,New Training Mission: ,Nouvelle mission de formation :
MISSION BRIEFING_744042,UI Text,MISSION BRIEFING,BULLETIN DE MISSION
NextNoteButton_743764,VR Interactable,Next Note,Remarque suivante
Text_742706,UI Text,Next,Suivant
PrevNoteButton_745262,VR Interactable,Previous Note,Remarque précédente
Text_744920,UI Text,Previous,Précédent
FlyButton_740588,VR Interactable,Fly Mission,FLYMISS
Text_743562,UI Text,Configure,Configurer
Text_746416,UI Text,Customize Pilot,Personnaliser le pilote
Label_740562,UI Text,suit,suit
HueUpButton_742114,VR Interactable,Hue Right,Teinte droite
HueDownButton_744534,VR Interactable,Hue Left,Teinte gauche
Label (1)_740254,UI Text,Hue,Teinte
SatUpButton_745496,VR Interactable,Saturation Up,Saturation vers le haut
SatDownButton_741692,VR Interactable,Saturation Down,
Label (2)_741270,UI Text,Saturation,Saturation
ValUpButton_747676,VR Interactable,Value Up,
ValDownButton_747772,VR Interactable,Value Down,
Label (3)_740798,UI Text,Brightness,Luminosité
Label_741936,UI Text,vest,gilet
Label_740984,UI Text,G-Suit,Combinaison G
Label_746928,UI Text,Straps,Bretelles
Label_743676,UI Text,skin,peau
AcceptButton_745474,VR Interactable,Accept Changes,
Text_740032,UI Text,Accept,
Button_740788,VR Interactable,Interactable,
DecrButton_746112,VR Interactable,Decrease,Diminuer
IncrButton_743848,VR Interactable,Increase,Augmenter
PrevSettingsPageButton_745814,VR Interactable,Prev Page,Page précédente
ApplySettingsButton_740876,VR Interactable,Apply Settings,Appliquer les paramètres
RevertSettingsButton_745510,VR Interactable,Revert Settings,Rétablir les paramètres
Text_744170,UI Text,Revert,Annuler
Text_743510,UI Text,Close,Fermer
BindingsButton_740066,VR Interactable,Open Bindings Menu,Ouvrir le menu des touches
Text_746038,UI Text,Bindings,Touches
OpenWingmenButton_742898,VR Interactable,Wingman Voices,Voix d'ailier
GameCat_692110,VR Interactable,Game,Jeu
ControlsCat_696240,VR Interactable,Controls,Contrôles
AudioCat_692816,VR Interactable,Audio,Audio
VideoCat_695570,VR Interactable,Video,Vidéo
MiscCat_691360,VR Interactable,Miscellaneous,Divers
Text_691290,UI Text,Misc,Divers
Image_746964,VR Interactable,Toggle Voice,Basculer la voix
SampleButton_741706,VR Interactable,Play Sample,Jouer un échantillon
SettingsTitle_746874,UI Text,Input binding,Touches
ActionLabel_743972,UI Text,Action,Action
ControllerLabel_740058,UI Text,Controller,Manette
AxisLabel_740550,UI Text,Axis,Axe
SelectCtrlr_744404,UI Text,Select a controller,Sélectionnez une manette
BindingsButton_745912,VR Interactable,Bind,Associer
Text_742080,UI Text,Bind,Associer
NextCtrlrButton_745738,VR Interactable,Next Controller,Contrôleur suivant
PrevCtrlrButton_747542,VR Interactable,Previous Controller,Contrôleur précédent
TestLabel_744460,UI Text,Axis Test,Test d'axe
ClearButton_744128,VR Interactable,Clear Binding,Supprimer la touche
Text_742294,UI Text,Clear,Supprimer
InvertButton_731022,VR Interactable,Invert Axis,Inverser l'axe
Text_724774,UI Text,Invert,Inverser
Text_746160,UI Text,Apply,Appliquer
Title_744764,UI Text,Launch Editor?,Lancer l'éditeur ?
Title (1)_740936,UI Text,The mission editor will run on your monitor.,L'éditeur de mission s'exécutera sur votre moniteur.
OkayButton_742216,VR Interactable,Launch Editor,Lancer l'éditeur
BackButton_507224,VR Interactable,Back to Main Menu,Retour au menu principal
Title (1)_740580,UI Text,The map editor will run on your monitor.,L'éditeur de carte s'exécutera sur votre moniteur.
