Key,Description,en,fr
",
FailedText_855830,UI Text,FAILED,
Handle_112840,VR Interactable,Scroll,
Text_857226,UI Text,Restart Mission,
ReturnButton_856630,VR Interactable,Return to Main,
Text_859052,UI Text,Finish Mission,
ToggleLogButton_860176,VR Interactable,Toggle Flight Log,
Text_859844,UI Text,Show/Hide Flight Log,
ContinueFlightButton_858160,VR Interactable,Continue Flight,
Text_857174,UI Text,Flight log,
UpIcon_857052,VR Interactable,Scroll Up,
DnIcon_859440,VR Interactable,Scroll Down,
BottomIcon_857190,VR Interactable,To Bottom,
SaveToDiskText_857640,VR Interactable,Save Flight Log,
completionTimeLabel_-10687514,UI Text,Completion Time:,
releaseLabel_859238,UI Text,RELEASE,
AirspeedLabel_857044,UI Text,SPEED,
Label_858112,UI Text,TILT,
Label_856174,UI Text,HULL,
VertVelLabel_857254,UI Text,VERT,
ASLText_858014,UI Text,ASL,
RDRAltText_858872,UI Text,RDR,
Text_857542,UI Text,[ COLLISION      WARNING ],
Text_859692,UI Text,[ STALL          WARNING ],
Label_857754,UI Text,HDG,
HudBrakeLock_858050,UI Text,[ BRAKE LOCK],
Label_164444,HUD unit label (g-force),G,
Label_168976,HUD unit label (mach),M,
Label_857238,UI Text,HVR,,,",,,
"ALT"",,,,",,,
Label_857834,UI Text,BRAKE,FREIN
Text_859476,UI Text,-[ CHECK GEAR ]-,-[VÉRIFIER L'ÉQUIPEMENT]-
Text_703132,UI Text,PULL UP!,TIRER VERS LE HAUT!
visorButtonInteractable_855374,VR Interactable,Toggle Visor,
nvgButtonInteractable_859612,VR Interactable,Toggle NVG,
HUDTintKnob_858060,VR Interactable,HUD Tint,Teinte du HUD
HUDSpeedUnitsButton_858304,VR Interactable,Airspeed Units,
SpeedUnitsLabel_858142,UI Text,TODO,
ClrWptButton_859478,VR Interactable,Clear Waypoint,
MasterCautionInteractable_855702,VR Interactable,Clear Cautions,
AltitudeModeInteractable_859776,VR Interactable,Toggle Altitude Mode,
headingAPButton_858104,VR Interactable,Heading Hold,
altitudeAPButton_855514,VR Interactable,Altitude Hold,
hoverAPButton_858476,VR Interactable,Hover Mode,
offAPButton_857466,VR Interactable,All AP Off,
navAPButton_855348,VR Interactable,Navigation Mode,
hudPowerInteractable_855558,VR Interactable,HUD Power,
hmcsPowerInteractable_856320,VR Interactable,HMCS Power,
HUDBrightKnob_855728,VR Interactable,HUD Brightness,
HUDDeclutterKnob_858778,VR Interactable,HUD Declutter,
leftEngineSwitchInteractable_858214,VR Interactable,Left Engine,
coverSwitchInteractable_leftEngine_858864,VR Interactable,Switch Cover,
rightEngineSwitchInteractable_857464,VR Interactable,Right Engine,
apuSwitchInteractable_855502,VR Interactable,Auxilliary Power,
Label (1)_857692,UI Text,AV-42,
GearInteractable_856386,VR Interactable,Landing Gear,
FlapsInteractable_855734,VR Interactable,Flaps,
HookInteractable_858430,VR Interactable,Arrestor Hook,
CatHookInteractable_859182,VR Interactable,Launch Bar,
masterArmSwitchInteractable_859944,VR Interactable,Master Arm Switch,
MasterJettisonButtonInteractable_856040,VR Interactable,Jettison,Abandonner
JettisonAllInteractable_860130,VR Interactable,JettisonAll,LargageTous
JettisonEmptyInteractable_860042,VR Interactable,Jettison Empty,Largage vide
ClearJettisonInteractable_856154,VR Interactable,Clear Jettison Marks,Effacer les marques de largage
Label (1)_858442,UI Text,QUICK START,DÉMARRAGE RAPIDE
QuickStartInteractable_857660,VR Interactable,Quickstart Engines,Moteurs à démarrage rapide
Label (1)_860014,UI Text,QUICK FLY,VOL RAPIDE
QuickFlyButton_857886,VR Interactable,QuickFly,Vol rapide
"Text_856940,UI Text,""VR MFCD,,,",,,TEXTE VIDE
1.0,,,TEXTE VIDE
",
SaveToDiskText_857186,UI Text,Save to Disk,
Title_856292,UI Text,Spectator,,,",,,
"Camera"",,,,",,,TEXTE VIDE
AutoFOVText_857446,UI Text,AutoFOV,FOV automatique
Title_859956,UI Text,HARDPOINTS,POINTS DUR
JettisonText_859418,UI Text,ARMED,ARMÉ
JettisonText_857292,UI Text,JETTISON,ABANDONNER
BackText_856938,UI Text,BACK,DOS
Title_859674,UI Text,ARAD,ARAD
offTxt_858396,UI Text,RWR OFF,RWR DÉSACTIVÉ
hudModeText_855534,UI Text,DECL,DÉCL
Text_856460,UI Text,GAME MENU,MENU DU JEU
"Text_856942,UI Text,""Sit comfortably,,,",,,TEXTE VIDE
and press,,,TEXTE VIDE
[menu],,,
"to recenter"",,,,",,,
saveText_858168,UI Text,SAVE,
"availableLabel_856046,UI Text,""SAVES,,,",,,
"AVAILABLE:"",,,,",,,
"NoQsText_856498,UI Text,""QUICKSAVE,,,",,,
"NOT AVAILABLE"",,,,",,,
lastSaveLabel_859496,UI Text,Last Save:,
loadText_858842,UI Text,LOAD,
text_855302,UI Text,SAVED,
Quicksave Title_123840,UI Text,Quicksave,
TgtsTitle_857670,UI Text,GPS TARGETS,
GroupsTitle_860122,UI Text,GROUPS,
"DelTgt_857782,UI Text,""DELETE,,,",,,
"TARGET"",,,,",,,
"DelGrp_856478,UI Text,""DELETE,,,",,,
"GROUP"",,,,",,,
"NewGrp_859040,UI Text,""NEW,,,",,,
pathLabel_857952,UI Text,PATH,
NoSignalText_859948,UI Text,NO SIGNAL,
Text_857566,UI Text,AREA,
Text_856980,UI Text,POINT,
Text_856590,UI Text,IFF:FRIEND,
Text_859178,UI Text,IFF:FOE,
"HeadModeText_855284,UI Text,""USE HELMET VISOR/HMCS,,,",,,
"AUGMENTED VIEW ENABLED"",,,,",,,
gimbalLimit_858032,UI Text,GIMBAL LIMIT,
hmdViewStatus_856300,UI Text,HMD,
titleText_456206,UI Text,FLARES,
titleText_455052,UI Text,CHAFF,
eqNameText_456958,UI Text,COUNTERMEASURE SYSTEM,
ReleaseRateTitle_456222,UI Text,RELEASE RATE,
releaseModeTxt_455244,UI Text,RELEASE MODE,
eqNameText_930458,UI Text,VEHICLE OPTIONS,
AltModeLabel_953220,UI Text,UNITS,
unitOptsText_702428,UI Text,FUEL,
unitOptsText_702142,UI Text,ALT WARN,
JoyModeText_952514,UI Text,JOY SENS,
eqNameText_701656,UI Text,UNIT OPTIONS,
"Text_954730,UI Text,""Sit comfortably,,,",,,
and press menu,,,
(top button),,,TEXTE VIDE
AltModeLabel_701584,UI Text,Alt Units,Unités alternatives
DistModeLabel_954954,UI Text,Dist Units,Unités de distribution
SpeedModeLabel_955738,UI Text,Speed Units,Unités de vitesse
eqNameText_702892,UI Text,FUEL CONFIG,CONFIGURATION CARBURANT
internalFuelText_-432922,Internal Fuel,INTERNAL,INTERNE
externalFuelText_701646,External fuel,EXTERNAL,EXTERNE
BingoAdjustTitle_-439040,UI Text,BINGO LEVEL,NIVEAU BINGO
eqNameText_701974,UI Text,ALTITUDE WARNINGS,AVERTISSEMENTS D'ALTITUDE
title_702284,UI Text,MIN ALTITUDE,ALTITUDE MINIMUM
title_701018,UI Text,MAX ALTITUDE,ALTITUDE MAXIMALE
modeTitle_702386,UI Text,MODE,MODE
MFD1PowerInteractable_856422,VR Interactable,MFD Power (Left),Alimentation MFD (gauche)
MFDBrightnessKnob_858866,VR Interactable,MFD Brightness,Luminosité du MFD
MFD2PowerInteractable_856476,VR Interactable,MFD Power (Center),Alimentation MFD (Centre)
MFD3PowerInteractable_857594,VR Interactable,MFD Power (Right),Alimentation MFD (à droite)
CrsKnobInteractable_858264,VR Interactable,Course Set,Ensemble de cours
Text_859426,UI Text,CRS,
APHeadingKnobInteractable_859312,VR Interactable,AP Heading Set,
"RWRText_856538,UI Text,""R,,,",,,
W,,,
"R"",,,,",,,
Text_859504,UI Text,VRMMFD v1.6,
fuelDrainLabel_859218,UI Text,FUEL DRAIN,
estTimeLabel_856372,UI Text,EST TIME,
estDistLabel_856044,UI Text,EST DISTANCE,
twrLabel_858560,UI Text,MAX TWR,
RWRButton_857352,VR Interactable,RWR,
powButtonMMFDLeft_859524,VR Interactable,Power (MMFD Left),
"FuelText_858474,UI Text,""F,,,",,,
U,,,
E,,,
"L"",,,,",,,
"InfoLabel_857034,UI Text,""I,,,",,,
N,,,
F,,,
"O"",,,,",,,
powButtonMMFDRight_855584,VR Interactable,Power (MMFD Right),Alimentation (MMFD à droite)
infoButton_859450,VR Interactable,Fuel Info,Informations sur le carburant
fuelButton_855474,VR Interactable,Fuel,Carburant
mainBattSwitchInteractable_858600,VR Interactable,Main Battery,Batterie principale
fuelDumpSwitchInteractable_197570,VR Interactable,Fuel Dump Switch,Interrupteur de décharge de carburant
RampInteractable_858370,VR Interactable,Side Doors,Portes latérales
BrakeLockInteractable_859740,VR Interactable,Brake Locks,Verrous de frein
MicPowerInteractable_855850,VR Interactable,Microphone,Microphone
CommsVolumeKnob_858450,VR Interactable,Comm Radio Volume,Volume radio de communication
"Text_98822,UI Text,""GAME WINDOW,,,",,,TEXTE VIDE
"NOT IN FOCUS"",,,,",,,TEXTE VIDE
ChaffInteractable_859410,VR Interactable,Toggle Chaff,Activer/désactiver les paillettes
FlareInteractable_856806,VR Interactable,Toggle Flares,Basculer les fusées éclairantes
AssistMasterInteractable_860160,VR Interactable,Toggle Flight Assist,Activer/Désactiver l'assistance au vol
PitchSASInteractable_855582,VR Interactable,Toggle Pitch Assist,Activer/Désactiver l'assistance au pas
YawSASInteractable_859920,VR Interactable,Toggle Yaw Assist,Activer/Désactiver l'assistance au lacet
RollSASInteractable_859788,VR Interactable,Toggle Roll Assist,Activer/Désactiver l'assistance au roulis
PitchAutoTrimInteractable_859614,VR Interactable,Toggle Pitch Trim,Basculer le réglage du pas
GLimitSwitchInteractable_860152,VR Interactable,Toggle G-Limiter,Activer le limiteur G
FuelPort_860018,VR Interactable,Fuel Port,Port de carburant
RCSModeInteractable_858010,VR Interactable,RCS Mode,Mode RCS
RadioVolumeKnob_859248,VR Interactable,Radio Volume,Volume radio
PrevButton_857278,VR Interactable,Prev Song,Chanson précédente
NextButton_858006,VR Interactable,Next Song,Prochaine chanson
radioPlayPauseInteractable_858616,VR Interactable,Play/Pause,Jouer pause
RWRModeInteractable_856254,VR Interactable,RWR Mode,Mode RWR
CamcorderObj_105218,VR Interactable,Move Camera,Déplacer la caméra
